"Table Number","Team Name","Average Score","Written Feedback (3 Sentences Max Please)"
"82","WorldWide Rover","51.0","82 | "
"27","FlipJoy Pi (FJP)","50.666666666666664","Raspberry pi running a mobile flavor of Linux, used a lot of microcontroller funkiness and wrote their own USB drivers for controllers | "
"70","Virtual Turing Microprocessor","45.333333333333336","Fascinating and fun | "
"101","Hi-5","42.666666666666664","Hi5 robot | "
"65","3D LED Matrix Art","38.0",""
"94","SAPient","28.0",""
"10","Dinosaur game","7.0","1 | "
"28","SAD Radio Swarm","7.0",""
"157","Black Line Follower","4.666666666666667","No one present, no table setup  | "
