"Table Number","Team Name","Average Score","Written Feedback (3 Sentences Max Please)"
"71","Infraflow","42.05982905982906",""
"75","The Miraculous Bits and Bytes Fuzzer","35.8974358974359",""
"146","Man In The Middle Hacker Client","33.504273504273506",""
