"Table Number","Team Name","Average Score","Written Feedback (3 Sentences Max Please)"
"14","Pantry Pal","44.34188034188034","Device to recommend recipes from ingredients  | This project should be considered for  best novel hack category  | "
"11","Mood Mood Light","43.05982905982906",""
"95","MoodGAIJ","39.39316239316239",""
"121","Is my house on fire?","38.504273504273506",""
"89","Nonchalant Nicholas","37.34188034188034","Presentation was nice and concise | "
"81","Water Alarm","34.84615384615385","Spills water and plays annoying sound to wake you up. | Its not UMass specific it should be best novel hack category | "
"26","Basic Speaker","26.957264957264954","Project for fun, homemade speaker using copper wire, plastic, 3mm audio male end | "
